wdur,twdur,age,jobno2,single,hrswk,size,marri,female,white,rhrpay2,ind_pub,highsch,graduate,hrswk_sq
90,606,33,4,1,50,30,"Married",1,0,535,0,1,0,2500
90,242,27,5,1,30,50,"Never-married",0,0,70,0,1,0,900
170,412,30,6,0,27,300,"Never-married",0,0,66,0,1,0,729
459,459,30,1,0,40,-1,"Married",1,1,226,0,0,1,1600
4,991,30,3,1,40,-4,"Married",1,1,169,0,0,1,1600
104,1095,30,4,0,40,-2,"Married",1,1,960,1,0,1,1600
7,33,20,3,1,40,-4,"Never-married",1,1,316,1,1,0,1600
192,301,26,7,1,10,50,"Never-married",1,1,97,0,1,0,100
14,41,20,3,1,25,30,"Never-married",0,1,322,0,1,0,625
70,111,22,4,0,6,200,"Never-married",0,1,211,0,1,0,36
26,297,28,9,1,40,3000,"Never-married",0,1,454,0,0,1,1600
26,323,28,10,1,25,130,"Never-married",0,1,283,0,0,1,625
24,368,31,12,1,30,-4,"Never-married",0,1,177,0,0,1,900
18,386,31,13,1,40,-4,"Never-married",0,1,537,0,0,1,1600
123,123,21,1,1,20,3,"Never-married",0,1,245,0,1,0,400
39,162,22,2,1,40,-2,"Never-married",0,1,946,0,1,0,1600
10,172,22,3,1,40,-4,"Never-married",0,1,946,0,1,0,1600
3,179,23,5,1,40,-4,"Never-married",0,1,885,0,1,0,1600
5,184,23,6,1,40,-4,"Never-married",0,1,966,0,1,0,1600
8,192,23,7,0,40,-4,"Never-married",0,1,885,0,1,0,1600
8,268,25,14,1,40,-4,"Married",0,1,934,0,1,0,1600
4,300,27,17,1,40,-4,"Married",0,1,943,0,1,0,1600
39,345,27,19,1,40,-2,"Married",0,1,917,0,1,0,1600
5,350,27,20,1,40,-4,"Married",0,1,917,0,1,0,1600
1,357,27,22,1,40,-4,"Married",0,1,917,0,1,0,1600
7,365,28,25,1,40,-4,"Married",0,1,918,0,1,0,1600
7,387,29,29,1,40,-4,"Married",0,1,966,0,1,0,1600
13,431,31,33,0,12,18,"Married",0,1,355,0,1,0,144
89,570,33,35,0,8,12,"Married",0,1,331,0,1,0,64
83,206,22,3,0,12,8,"Never-married",1,1,408,0,1,0,144
32,245,23,3,0,6,6,"Never-married",1,1,396,0,0,1,36
37,419,27,6,0,25,100,"Never-married",1,1,,0,0,1,625
15,49,20,2,1,40,-4,"Never-married",0,1,312,0,0,0,1600
4,53,20,3,1,40,-4,"Never-married",0,1,322,0,0,0,1600
21,21,29,1,0,15,5,"Married",1,1,422,0,0,1,225
97,97,18,1,1,25,150,"Never-married",0,0,292,0,1,0,625
155,271,22,3,1,26,12,"Never-married",0,0,317,0,1,0,676
173,173,26,1,1,24,-2,"Married",1,0,337,1,0,1,576
4,40,18,3,1,40,-4,"Never-married",0,0,358,0,0,0,1600
22,62,18,4,1,40,10,"Never-married",0,0,359,0,0,0,1600
17,79,19,5,1,40,20,"Never-married",0,0,413,0,0,0,1600
11,90,19,6,1,40,-4,"Never-married",0,0,370,0,0,0,1600
5,95,19,7,1,40,-4,"Never-married",0,0,392,0,0,0,1600
571,757,33,9,1,50,4,"Married",0,0,569,0,0,0,2500
79,79,23,1,1,40,12000,"Never-married",1,0,813,0,1,0,1600
140,219,26,2,1,40,500,"Never-married",1,0,1086,0,1,0,1600
67,379,25,5,0,40,180,"Never-married",0,0,542,0,1,0,1600
31,31,17,1,0,25,2,"Never-married",1,0,92,0,0,0,625
2,35,17,2,0,30,5,"Never-married",1,0,233,0,0,0,900
2,48,19,4,1,40,-4,"Married",1,0,272,0,0,0,1600
221,269,23,5,0,28,20,"Married",1,0,484,0,0,0,784
70,271,24,2,0,40,12,"Married",1,0,288,0,1,0,1600
31,342,25,3,0,10,65,"Married",1,0,311,0,1,0,100
7,396,29,3,0,15,-2,"Married",1,0,303,0,1,0,225
11,78,25,8,0,28,35,"Never-married",0,0,133,0,0,1,784
76,227,28,11,0,32,80,"Never-married",0,0,99,0,0,1,1024
18,262,29,11,0,30,60,"Never-married",0,0,96,0,0,1,900
70,82,20,2,0,40,17,"Never-married",0,1,326,0,1,0,1600
25,25,19,1,1,40,16,"Never-married",1,1,266,0,1,0,1600
150,175,22,2,0,40,400,"Never-married",1,1,369,0,1,0,1600
335,568,31,4,1,40,2,"Separated",1,1,452,0,1,0,1600
193,193,23,1,0,40,200,"Never-married",0,0,631,0,1,0,1600
15,48,19,2,1,15,-4,"Never-married",1,1,256,0,1,0,225
38,86,19,3,1,16,4,"Never-married",1,1,307,0,1,0,256
614,700,31,4,0,40,50,"Married",1,1,522,0,1,0,1600
1,232,22,3,0,3,1,"Never-married",0,1,1345,0,1,0,9
6,270,23,2,1,35,11,"Never-married",1,0,336,1,1,0,1225
53,53,23,1,1,30,65,"Never-married",0,1,350,0,1,0,900
145,145,22,1,0,35,100,"Never-married",1,1,112,0,0,1,1225
87,234,24,1,0,40,100,"Never-married",1,1,122,0,0,1,1600
222,469,29,1,0,10,75,"Never-married",1,1,241,0,0,1,100
10,10,19,1,0,53,-4,"Never-married",0,0,252,0,0,0,2809
3,141,22,4,1,84,-4,"Married",0,0,282,0,0,0,7056
199,226,29,3,0,16,30,"Never-married",0,0,932,0,0,1,256
181,269,27,5,1,40,60,"Never-married",0,0,420,0,1,0,1600
13,282,27,6,1,40,3,"Never-married",0,0,350,0,1,0,1600
176,507,33,8,0,40,100,"Never-married",0,0,379,0,1,0,1600
8,8,20,1,1,30,-4,"Never-married",1,0,276,1,1,0,900
69,77,21,2,1,30,10,"Never-married",1,0,288,0,1,0,900
277,277,24,1,1,40,10,"Never-married",1,1,743,0,0,1,1600
8,8,20,1,1,8,-4,"Never-married",1,0,384,1,1,0,64
80,88,21,2,1,40,8,"Never-married",1,0,297,0,1,0,1600
52,169,24,4,0,40,7,"Never-married",1,0,612,0,1,0,1600
238,238,25,1,1,30,-2,"Never-married",0,1,253,0,0,1,900
60,350,27,3,1,40,-2,"Never-married",0,1,480,0,0,1,1600
12,478,30,5,1,40,-4,"Never-married",0,1,1647,0,0,1,1600
41,85,28,4,1,48,1,"Never-married",0,1,303,0,1,0,2304
25,146,24,2,1,30,25,"Never-married",1,1,385,0,0,1,900
104,112,21,1,0,37,30,"Never-married",0,0,368,0,1,0,1369
226,340,25,1,0,35,25,"Never-married",0,0,421,0,1,0,1225
174,594,30,6,1,40,26,"Married",0,0,483,0,1,0,1600
21,21,26,1,0,18,-2,"Never-married",1,1,332,0,0,1,324
27,92,27,3,0,30,250,"Never-married",1,1,392,0,0,1,900
86,190,31,5,1,20,30,"Never-married",1,1,920,1,0,1,400
475,475,35,1,1,40,300,"Married",0,0,1208,0,0,1,1600
72,72,23,1,0,40,1,"Never-married",0,1,321,0,0,1,1600
49,172,26,3,1,60,160,"Never-married",0,1,392,0,0,1,3600
19,274,28,5,1,60,55,"Never-married",0,1,555,0,0,1,3600
154,154,20,1,0,20,-2,"Never-married",1,1,394,0,1,0,400
142,319,24,3,1,20,3,"Never-married",1,1,350,0,0,1,400
19,627,30,5,1,20,-4,"Never-married",1,1,225,0,0,1,400
36,663,30,6,1,40,60,"Never-married",1,1,749,0,0,1,1600
175,175,23,1,0,40,1000,"Never-married",0,0,690,0,0,1,1600
127,149,26,2,1,32,25,"Never-married",1,0,665,0,0,1,1024
114,114,32,1,1,24,20,"Separated",1,1,446,1,0,1,576
215,329,32,2,1,40,100,"Separated",1,1,1383,0,0,1,1600
42,371,32,3,1,50,60,"Separated",1,1,1139,0,0,1,2500
235,606,32,4,1,35,200,"Separated",1,1,1767,1,0,1,1225
30,30,21,1,1,20,-2,"Never-married",0,1,327,0,0,0,400
13,163,24,5,0,40,8,"Never-married",0,1,499,0,0,0,1600
188,592,35,12,1,40,-2,"Never-married",0,1,647,0,0,0,1600
24,56,18,2,0,40,30,"Never-married",0,1,302,0,0,0,1600
3,271,26,8,0,40,-4,"Never-married",0,1,354,0,0,1,1600
29,309,27,9,0,8,-4,"Married",0,1,370,0,0,1,64
92,92,25,1,0,35,75,"Never-married",0,0,499,1,0,1,1225
97,292,28,2,0,40,50,"Never-married",0,0,505,1,0,1,1600
229,229,25,1,0,35,-4,"Never-married",0,0,332,0,1,0,1225
3,25,20,3,0,40,-4,"Never-married",0,0,276,0,0,0,1600
10,98,23,5,1,46,-4,"Never-married",0,0,360,0,0,0,2116
50,50,19,1,0,32,12,"Never-married",0,1,266,0,0,0,1024
20,133,23,5,0,40,-4,"Married",0,1,422,0,1,0,1600
32,32,20,1,0,35,70,"Never-married",1,1,143,0,1,0,1225
104,234,24,4,1,55,-4,"Never-married",1,1,194,0,1,0,3025
12,246,24,5,0,35,100,"Never-married",1,1,240,0,1,0,1225
39,39,21,1,0,32,120,"Never-married",0,0,332,0,1,0,1024
36,87,22,1,1,40,200,"Never-married",0,0,339,0,1,0,1600
14,101,22,3,0,20,4,"Never-married",0,0,315,0,1,0,400
39,143,23,4,1,30,13,"Never-married",0,0,274,0,1,0,900
115,430,30,7,1,40,4,"Married",0,0,576,0,1,0,1600
24,24,18,1,0,25,50,"Never-married",1,1,282,0,1,0,625
24,63,19,3,0,15,12,"Never-married",1,1,276,1,1,0,225
97,340,26,7,0,8,-4,"Married",1,1,338,1,1,0,64
3,42,18,3,0,20,-4,"Never-married",1,1,231,0,0,0,400
